date,city,salesperson,customername,carmake,carmodel,caryear,saleprice,commissionrate,commisionearned
11/13/2019,Virginia Beach,Victoria Brooks,Iona Crayton,Mitsubishi,Pajero,1988,31246,0.129658,4051.293868
12/19/2023,Jacksonville,Joseph Campbell,Der Mahmood,Chevrolet,Express 3500,2000,37244,0.058537,2180.152028
8/24/2020,Washington,Henry Thomas,Honor Lomansey,GMC,Sierra Hybrid,2006,39846,0.069646,2775.114516
11/15/2022,Sacramento,Charlotte Thomas,Wileen Finlry,Chrysler,LHS,1997,40416,0.070513,2849.853408
11/22/2022,Columbus,Gabriel Williams,Nate Kelso,Volvo,V40,2001,11434,0.091608,1047.445872
6/29/2018,Houston,Amelia Moore,Hettie MacDunleavy,Nissan,350Z,2003,15925,0.117101,1864.833425
6/7/2022,Fort Worth,Caleb Long,Anallise Morphey,Audi,A6,2011,42400,0.065158,2762.6992
10/3/2018,Sacramento,Jackson Robinson,Alfie Audritt,Hyundai,Elantra,2003,30355,0.142436,4323.64478
10/26/2024,Washington,Lily Bailey,Veronike Praill,Chrysler,Concorde,1998,38012,0.099147,3768.775764
7/18/2019,Kansas City,Ava Garcia,Liane Lammerich,Bentley,Continental Super,2010,16072,0.103807,1668.386104
8/28/2022,Kansas City,Emma Adams,Lorilyn Devo,Ford,Escape,2004,36181,0.056119,2030.441539
10/25/2024,Tucson,Michael Jones,Reynolds Daborn,Hyundai,Santa Fe,2011,22840,0.1306,2982.904
8/16/2021,Kansas City,Sophia Garcia,Mathe Tift,Saturn,Relay,2007,41864,0.096283,4030.791512
3/18/2024,Seattle,Ella Sanchez,Jude Ketteman,Mitsubishi,Lancer,2007,29078,0.088962,2586.837036
12/26/2021,Dallas,Stella Reed,Charissa Iacovides,Mercury,Grand Marquis,1991,46326,0.05503,2549.31978
12/28/2020,Boston,John Scott,Frederigo Dicken,Suzuki,Aerio,2005,16942,0.057232,969.624544
3/6/2020,Baltimore,David Perez,Abel Micah,Lincoln,Navigator,2007,45888,0.082087,3766.808256
12/19/2018,Louisville,Stella Williams,Merrill Babbe,Ford,Taurus,2010,10826,0.114085,1235.08421
2/2/2020,Tampa,Lucy Lewis,Suzy Coverly,GMC,Envoy XUV,2005,23535,0.148271,3489.557985
3/23/2020,Milwaukee,Sebastian Anderson,Erminia Lampaert,Acura,TL,2010,37265,0.142239,5300.536335
3/1/2019,San Diego,Matthew Taylor,Marybelle Laycock,GMC,Sierra 3500,2005,36427,0.094802,3453.352454
2/12/2021,New York,Harper Sanchez,Drucill Harral,Hyundai,Elantra,2013,20863,0.069678,1453.692114
2/16/2019,Omaha,Alexander Martin,Royce Tamplin,Dodge,Charger,1969,38809,0.061278,2378.137902
5/27/2023,Tampa,Liam Davis,Adoree Dodsley,Chrysler,Prowler,2001,46027,0.067979,3128.869433
6/20/2022,Las Vegas,Olivia Johnson,Patric Maxwaile,Chevrolet,Equinox,2010,21851,0.053209,1162.669859
9/30/2023,San Francisco,Benjamin Young,Keir Gant,Chevrolet,Suburban 1500,2006,48800,0.052867,2579.9096
11/28/2023,Detroit,Ava Garcia,Francesco Irvin,Honda,CR-V,2001,44305,0.069528,3080.43804
1/6/2022,Kansas City,Jacob Davis,Guss Burnside,Volkswagen,GTI,1991,49877,0.078568,3918.736136
10/18/2024,Chicago,Amelia Cooper,Minnie Zaniolini,Ferrari,458 Italia,2011,18853,0.148696,2803.365688
1/21/2024,Baltimore,Jacob Davis,Euell Kassman,Audi,RS 6,2003,39315,0.059616,2343.80304
2/15/2019,Louisville,Lily Barnes,Stephannie Palomba,Hyundai,XG350,2005,35384,0.133549,4725.497816
11/8/2019,Kansas City,Harper Sanchez,Kamillah Marjanski,GMC,Safari,1996,17160,0.102141,1752.73956
10/12/2020,Oklahoma City,Grace Lewis,Ellsworth Moir,Chevrolet,Avalanche 2500,2004,18972,0.138046,2619.008712
2/9/2025,Virginia Beach,Nora White,Gil Georgeot,Aston Martin,Rapide,2010,37640,0.096271,3623.64044
6/5/2022,Baltimore,Henry Thomas,Rip Squibe,Volkswagen,Type 2,1990,32125,0.090186,2897.22525
3/18/2023,Louisville,Sophia Garcia,Stevana Warkup,Chevrolet,Suburban 2500,1996,33997,0.053533,1819.961401
8/8/2018,Albuquerque,Matthew Taylor,Manny Lakey,Ford,Mustang,1983,10060,0.060677,610.41062
4/18/2023,Washington,Caleb Martin,Cissy Fetherstonhaugh,Infiniti,M,2009,11656,0.13413,1563.41928
10/4/2023,Charlotte,Benjamin Thompson,Gaylord Stathor,Chevrolet,Avalanche 1500,2006,29122,0.10875,3167.0175
4/1/2020,Albuquerque,Matthew Cooper,Hogan Wyne,Nissan,Xterra,2000,33793,0.12111,4092.67023
10/23/2018,New Orleans,Isabella Wright,Nyssa Jefferson,Pontiac,Grand Prix,1989,48315,0.147541,7128.443415
10/9/2018,Long Beach,Elijah Allen,Thorsten Edsell,Volkswagen,Cabriolet,1987,43656,0.135638,5921.412528
12/2/2020,Albuquerque,Scarlett Ramirez,Elsi Longwood,Pontiac,Fiero,1984,47492,0.111861,5312.502612
1/2/2022,Long Beach,Jacob Scott,Jandy Lighterness,Chevrolet,Camaro,1979,24189,0.140196,3391.201044
11/22/2022,Tampa,Chloe Williams,Dene Bugdale,Saab,9-5,2008,14124,0.132889,1876.924236
5/11/2019,Charlotte,Ellie Torres,Vale Heaviside,Holden,Monaro,2004,35877,0.098642,3538.979034
11/2/2018,Denver,Ellie Davis,Jermaine Barrar,Buick,Electra,1988,16532,0.07002,1157.57064
9/28/2022,Indianapolis,Benjamin Sanchez,Gretal Spear,Hyundai,Accent,1997,20287,0.06229,1263.67723
3/1/2023,Virginia Beach,Alexander Martin,Godfry Ferguson,Nissan,Sentra,1996,47819,0.058088,2777.710072
5/30/2021,Louisville,Anthony Ramirez,Elton Zukerman,BMW,Z3,1998,38851,0.125246,4865.932346
3/23/2020,Omaha,Henry Thomas,Tristam Konerding,Chevrolet,Tahoe,1999,44543,0.068529,3052.487247
12/14/2022,Las Vegas,Victoria Brooks,Janith Morrieson,Pontiac,Grand Am,1990,17380,0.101939,1771.69982
10/14/2023,Oakland,Alexander Nguyen,Cristiano Essery,Audi,A7,2012,42073,0.136241,5732.067593
1/15/2021,San Antonio,Mia Moore,Anthiathia Farrant,BMW,Z4,2011,38089,0.062771,2390.884619
2/19/2019,Colorado Springs,Zoey Martinez,Artemas Horsted,GMC,Vandura G3500,1996,39861,0.096382,3841.882902
11/9/2020,Dallas,Matthew Cooper,Bell Holtum,Ford,F350,2001,34192,0.10862,3713.93504
5/22/2022,San Antonio,Abigail Brown,Gabey D'Alesco,Mitsubishi,Galant,2011,47485,0.118991,5650.287635
8/26/2020,Arlington,Ellie Davis,Hatti Jeannon,Buick,Skylark,1989,13699,0.149028,2041.534572
11/8/2019,El Paso,Ellie Diaz,Em Guilloneau,Honda,S2000,2004,42558,0.142873,6080.389134
10/25/2018,Denver,Ethan Cooper,Bartlet Kytley,Pontiac,Grand Prix,1991,28941,0.127474,3689.225034
3/8/2022,Omaha,Henry Sanchez,Tandi Grief,Volkswagen,Golf,2010,39498,0.14064,5554.99872
9/9/2022,Omaha,Caleb Barnes,Preston Mitchely,Ford,Expedition,2004,29418,0.146261,4302.706098
6/9/2019,Denver,Noah Davis,Deanne Costard,Hyundai,Accent,2012,12282,0.110657,1359.089274
9/22/2022,Mesa,Caleb Brown,Norton Redsall,Suzuki,Swift,2000,25406,0.149591,3800.508946
3/14/2019,Charlotte,Ellie Gonzalez,Debra Ortler,Ford,Windstar,1995,21773,0.118571,2581.646383
9/19/2023,El Paso,David Scott,Nelli Doni,Mitsubishi,3000GT,1999,24124,0.12703,3064.47172
6/11/2023,Jacksonville,Michael Jones,Adrian Morson,Chevrolet,Corvette,1996,17311,0.074884,1296.316924
2/18/2020,Philadelphia,Hannah Hill,Lelia Engeham,Porsche,944,1989,35010,0.106283,3720.96783
6/4/2022,Denver,Anthony Ramirez,Arlana Danilevich,Acura,ZDX,2012,20183,0.095465,1926.770095
4/28/2022,Los Angeles,Ellie Diaz,Elsi McPeeters,BMW,M5,1992,39562,0.085569,3385.280778
2/27/2022,Miami,Aria Garcia,Kyla Lyptratt,Lexus,LS,2010,17143,0.075714,1297.965102
1/7/2022,Chicago,Benjamin Torres,Clemens Grover,Toyota,Avalon,2006,33719,0.060331,2034.300989
2/15/2025,Virginia Beach,Lucy Hill,Kele Smitton,Ford,Escort,1984,25229,0.066725,1683.405025
5/6/2021,Austin,Noah Davis,Cchaddie Bethune,Chrysler,Sebring,2002,47068,0.120549,5674.000332
5/27/2021,Virginia Beach,Amelia Moore,Riobard Romao,Ford,F-Series,2010,34510,0.072137,2489.44787
5/20/2021,New Orleans,John Ward,Anatollo Coning,Mercedes-Benz,SLR McLaren,2009,29646,0.107097,3174.997662
3/12/2022,Fresno,Liam Davis,Trev O'Crowley,Ford,Escape,2007,22947,0.054536,1251.437592
1/6/2022,Las Vegas,Stella Reed,Nada Kolis,Chevrolet,Caprice,1983,27083,0.090729,2457.213507
5/20/2021,New Orleans,Layla Young,Hercule McGeagh,Mitsubishi,Montero,2006,16714,0.142636,2384.018104
1/21/2025,San Jose,Benjamin Torres,Garner Sandars,Mercury,Sable,1993,26781,0.14177,3796.74237
10/5/2018,Minneapolis,Henry Sanchez,Auberta Cumberledge,Mitsubishi,Pajero,1984,20799,0.096194,2000.739006
5/20/2019,Dallas,Chloe Hall,Isidro Temprell,Ford,Expedition EL,2009,21328,0.066591,1420.252848
1/21/2023,Long Beach,Ellie Torres,Querida Paolone,Volkswagen,Type 2,1985,45835,0.14384,6592.9064
5/19/2018,Philadelphia,Penelope Cox,Daryle Klimkov,Ford,Thunderbird,1980,17606,0.066357,1168.281342
4/23/2020,Atlanta,Carter Rivera,Mariele Mathys,Mazda,Miata MX-5,2008,15344,0.141589,2172.541616
1/13/2023,Atlanta,Elijah Clark,Leonhard Peddowe,Volkswagen,GTI,1997,25303,0.115516,2922.901348
10/30/2022,San Diego,Benjamin Ramirez,Perri Matchell,Chevrolet,Cavalier,2001,21309,0.051713,1101.952317
8/29/2024,El Paso,Zoey Young,Jemmy Lightowlers,Mitsubishi,Mirage,1996,36658,0.140315,5143.66727
1/13/2023,San Diego,Scarlett Nguyen,Dalli Landsborough,Suzuki,SJ 410,1986,20974,0.10406,2182.55444
1/26/2020,Omaha,Lily Nelson,Addison Picker,Chevrolet,Silverado,2008,27094,0.108799,2947.800106
4/15/2020,San Jose,David Scott,Ari Pallatina,Hyundai,Tiburon,1997,26377,0.068207,1799.096039
4/9/2021,Seattle,Abigail Brown,Patten Cheak,Subaru,Forester,2002,38895,0.06329,2461.66455
3/23/2019,Omaha,Evelyn Rodriguez,Bennie Houndesome,Toyota,Land Cruiser,2013,11713,0.052546,615.471298
5/7/2020,San Jose,David Perez,Phillie MacPherson,Dodge,Stratus,2001,32800,0.126803,4159.1384
3/7/2023,Austin,Emma Clark,Rafaellle Hierro,GMC,Yukon,2001,16848,0.070485,1187.53128
5/23/2021,Fresno,Amelia Moore,Maxwell Versey,GMC,Yukon XL 1500,2007,29060,0.119514,3473.07684
1/21/2024,Denver,Benjamin Ramirez,Corty Mountcastle,Kia,Sportage,1998,32297,0.109282,3529.480754
3/7/2021,Nashville,Daniel Sanchez,Natal Dumbarton,Toyota,Sequoia,2010,49141,0.118936,5844.633976
12/29/2020,Tucson,Liam Gonzalez,Nichols Sidle,Jaguar,XK,2006,13024,0.145029,1888.857696
2/10/2022,Las Vegas,Julian Morgan,Felicdad Frisel,Dodge,Ram Van 2500,2003,24172,0.111149,2686.693628
3/3/2020,Albuquerque,Jackson Robinson,Leann Chaytor,BMW,7 Series,2000,15882,0.129348,2054.304936
11/29/2021,Boston,Alexander Martin,Rhonda Aston,Ford,Club Wagon,1996,36118,0.111769,4036.872742
4/13/2020,Virginia Beach,Emma Adams,Rita Ruddiforth,Chevrolet,Malibu,2010,38529,0.056127,2162.517183
11/11/2018,Louisville,Isabella Lopez,Chrisy Jordon,Mercedes-Benz,E-Class,1999,46649,0.078954,3683.125146
4/29/2022,Miami,Nora Ward,Dinah Cline,Honda,CR-V,2011,16276,0.091448,1488.407648
3/8/2024,Indianapolis,Samuel Adams,Geoff Wickardt,Aptera,Typ-1,2008,24714,0.077442,1913.901588
4/1/2025,Las Vegas,Aurora Cooper,Anita Matzl,Oldsmobile,88,1993,19193,0.138334,2655.044462
10/24/2018,Denver,Benjamin Adams,Zackariah Bensley,Lincoln,Mark LT,2006,37611,0.109157,4105.503927
4/22/2022,Colorado Springs,Thomas Hernandez,Maynord Karpeev,Mercedes-Benz,SL-Class,2001,16531,0.058084,960.186604
7/15/2021,Austin,Harper Sanchez,Rozella Ridgway,Volvo,S60,2002,22471,0.062224,1398.235504
6/25/2023,Fresno,Carter Rivera,Annamarie Gurden,Lincoln,Mark VII,1992,17537,0.095906,1681.903522
7/18/2021,Charlotte,Joseph Thomas,Felecia Ibbison,Cadillac,Escalade EXT,2006,37207,0.067804,2522.783428
3/7/2025,Fort Worth,Charlotte Garcia,Perl Brauner,Acura,NSX,2005,27830,0.107152,2982.04016
12/18/2022,Portland,Grace Sanchez,Hali Presman,Volkswagen,Eos,2007,29077,0.118033,3432.045541
5/25/2020,Indianapolis,Penelope White,Dee Timmins,Ford,Flex,2009,26869,0.127201,3417.763669
5/11/2018,Las Vegas,David Thompson,Marylee Canham,Saturn,Aura,2007,26292,0.138504,3641.547168
7/11/2018,Jacksonville,Evelyn Rodriguez,Guido MacGoun,Ford,Taurus,2001,26845,0.059235,1590.163575
5/22/2023,Kansas City,Michael Taylor,Collen Burwood,Lexus,LS,2004,14539,0.071428,1038.491692
12/20/2019,Omaha,Sophia Garcia,Neely Sackler,Toyota,Tacoma Xtra,2001,11441,0.053863,616.246583
12/27/2022,Louisville,Caleb Martin,Vernor Odney,Nissan,Maxima,2002,26001,0.149492,3886.941492
12/2/2019,Nashville,Nora Ward,Marcelo Wither,Audi,200,1991,35619,0.098726,3516.521394
7/8/2020,Louisville,Noah Davis,Leonore Wrettum,Chrysler,LHS,1994,44560,0.136411,6078.47416
4/2/2019,Dallas,Amelia Cooper,Townsend Stile,Porsche,928,1987,28524,0.111625,3183.9915
8/23/2018,San Antonio,Lily Nelson,Imogene Nanninini,Jeep,Wrangler,2011,26684,0.097697,2606.946748
10/17/2020,Tulsa,Michael Richardson,Gustavo Endean,GMC,3500 Club Coupe,1992,37025,0.148108,5483.6987
2/9/2022,Raleigh,David Scott,Birgit Ritelli,GMC,Yukon,2010,17058,0.129953,2216.738274
6/12/2024,Dallas,Lily Barnes,Krishna Jull,GMC,Safari,1994,38939,0.139906,5447.799734
7/28/2023,Raleigh,Sophia Rodriguez,Korella Richarz,Buick,Riviera,1990,12952,0.121524,1573.978848
10/2/2024,Washington,Zoey Torres,Thom Lamplugh,BMW,5 Series,2002,30459,0.126417,3850.535403
1/5/2020,Austin,Evelyn Rodriguez,Juliane Farrey,Pontiac,Grand Am,2002,43653,0.147775,6450.822075
5/31/2020,New York,Henry Patterson,Jordan Geane,Rolls-Royce,Phantom,2010,32047,0.108369,3472.901343
6/15/2020,Oakland,Emma Jones,Bernette Maybery,Chevrolet,Express 3500,2000,11271,0.131679,1484.154009
12/22/2021,Seattle,Abigail Brown,Galina Draisey,Lexus,IS F,2008,37688,0.099306,3742.644528
5/3/2021,Indianapolis,Evelyn Bailey,Franklyn Seyffert,Toyota,Tacoma,1998,21419,0.102929,2204.636251
1/19/2020,New Orleans,Ellie Davis,Beatrisa Sandys,Lexus,ES,2007,24296,0.125898,3058.817808
4/25/2022,Boston,John Scott,Eulalie Bernolet,Dodge,Aspen,1976,46380,0.05586,2590.7868
1/16/2019,Albuquerque,Anthony Ramirez,Tracey Kinchley,Kia,Sedona,2012,12578,0.057995,729.46111
8/7/2024,Atlanta,Gabriel King,Glynn Kleinert,Suzuki,SX4,2012,25740,0.147579,3798.68346
3/13/2019,Philadelphia,Nora White,Alvera Greathead,Hyundai,Entourage,2008,12415,0.123707,1535.822405
5/17/2018,Minneapolis,Ellie Gonzalez,Renelle Climer,Saab,9-2X,2006,10985,0.071541,785.877885
1/10/2019,Virginia Beach,John Scott,Montague Pharrow,Volkswagen,Eos,2010,10801,0.078509,847.975709
8/7/2020,Austin,Ellie Gonzalez,Wenonah Eltune,Honda,CR-V,1999,12472,0.051487,642.145864
8/15/2023,Oklahoma City,Samuel Rodriguez,Zak Antoniou,Ferrari,F430 Spider,2006,21932,0.05546,1216.34872
9/12/2023,Charlotte,Natalie Long,Caty McCowan,Ford,Galaxie,1966,38767,0.055906,2167.307902
11/27/2018,Arlington,Lucy Hill,Gwenette Swetenham,Honda,Civic,1992,13040,0.138485,1805.8444
11/3/2023,Las Vegas,Gabriel Rivera,Hagan Ridd,Acura,Integra,2000,29747,0.134071,3988.210037
8/10/2024,New York,Elijah Torres,Mathew Coppens,Hummer,H1,1998,20327,0.093066,1891.752582
3/22/2023,New Orleans,Layla Sanchez,Arri Jilkes,Chevrolet,Venture,1998,12327,0.057363,707.113701
5/29/2024,San Antonio,Alexander Nguyen,Sigrid Brognot,Subaru,Forester,2012,33996,0.088651,3013.779396
8/14/2022,Fort Worth,Emma Brown,Carolynn Darycott,BMW,M3,2003,38725,0.069282,2682.94545
8/7/2019,Phoenix,Zoey Young,Harwell Timmes,Chevrolet,Malibu,2011,44544,0.126528,5636.063232
6/8/2019,Jacksonville,Grace Anderson,Bibby Greenhill,Nissan,Sentra,1991,35253,0.072706,2563.104618
2/8/2023,Colorado Springs,Michael Gonzalez,Frasier Gladdifh,Cadillac,Seville,1996,37227,0.136696,5088.781992
6/28/2022,Virginia Beach,Lily Martin,Bastien Cheake,Chevrolet,G-Series 3500,1998,28200,0.10597,2988.354
6/3/2024,Long Beach,Victoria Brooks,Giuditta Ledbury,Fillmore,Fillmore,1960,22135,0.078755,1743.241925
12/26/2022,Oakland,Nora Flores,Ginny Lawful,Chevrolet,Malibu,2013,33878,0.114399,3875.609322
12/21/2018,Tucson,Liam Gonzalez,Malva Chartman,Volkswagen,rio,2000,33698,0.054873,1849.110354
10/6/2022,Detroit,John Scott,Shaina Wisniowski,Chrysler,Town & Country,1994,19298,0.138763,2677.848374
1/4/2020,Indianapolis,Elijah Scott,Sari Gurner,Hyundai,Elantra,2004,39293,0.055214,2169.523702
9/29/2018,Tucson,David Thompson,Bambi Culbert,Chevrolet,Cobalt SS,2009,42281,0.052305,2211.507705
8/18/2022,Detroit,Jackson Robinson,Thorsten Wagg,BMW,M5,2009,29418,0.090544,2663.623392
12/12/2021,San Francisco,Thomas Bailey,Cathrine Daulby,Subaru,Impreza,2006,11067,0.107058,1184.810886
3/16/2023,Los Angeles,Samuel Nelson,Suzanne Sanpher,Mitsubishi,GTO,1999,40128,0.132636,5322.417408
1/11/2019,Washington,Layla Ramirez,Thadeus Delagua,Saturn,VUE,2003,22845,0.083954,1917.92913
7/18/2021,Virginia Beach,Hannah Hill,Inger Standfield,Audi,A5,2009,23861,0.111537,2661.384357
8/11/2019,Raleigh,Layla Hill,Dorena Keynes,Nissan,Murano,2010,39085,0.104244,4074.37674
2/11/2019,Oakland,Jacob Lee,Edwina Beddard,Subaru,Loyale,1992,42741,0.088652,3789.075132
9/4/2018,Baltimore,Carter Rivera,Daphene Walden,Pontiac,Firebird,1967,32633,0.140916,4598.511828
5/2/2020,Houston,Mia Moore,Cissiee Demoge,Saab,9000,1989,29975,0.062385,1869.990375
6/5/2023,Long Beach,Sebastian King,Lise Pohls,Kia,Rio,2012,22412,0.139032,3115.985184
3/28/2025,Albuquerque,Aria Torres,Ainslie Maliffe,Mazda,Millenia,2000,26464,0.095386,2524.295104
7/8/2024,Miami,Emma Harris,Gerald Hartles,Audi,Coupe GT,1986,36058,0.098732,3560.078456
12/20/2020,Dallas,Joseph Campbell,Miles Isitt,Kia,Rio,2004,47893,0.054697,2619.603421
7/21/2022,Portland,Caleb Price,Marmaduke Caddens,GMC,Sonoma,2001,27223,0.131397,3577.020531
1/18/2025,Fort Worth,Ava Garcia,Carly Dugdale,Chevrolet,Express 3500,2001,49726,0.133535,6640.16141
11/29/2024,San Francisco,Amelia Cooper,Benni Foulstone,Dodge,Ram Van 1500,2001,45740,0.112067,5125.94458
12/13/2018,Columbus,Henry Patterson,Kipp Murison,GMC,Yukon,1996,17502,0.063836,1117.257672
12/29/2022,San Francisco,Scarlett Ramirez,Raynell Stamper,Audi,A3,2011,11531,0.089108,1027.504348
11/12/2018,Denver,Grace Lewis,Mirelle Ketchaside,Mitsubishi,Pajero,1999,46800,0.130506,6107.6808
1/8/2020,San Francisco,Matthew Taylor,Maren Dresche,Toyota,FJ Cruiser,2012,13366,0.100846,1347.907636
6/24/2022,Albuquerque,Nora Flores,Lisha Doyley,GMC,Savana 2500,2001,46177,0.054767,2528.975759
6/23/2024,Milwaukee,Gabriel King,Rivkah Bryson,Volkswagen,Golf,1989,42931,0.114932,4934.145692
12/3/2023,San Diego,John Scott,Merrily Chown,Mazda,Familia,1988,22634,0.118722,2687.153748
8/22/2018,Las Vegas,Grace Davis,Georgina Jumont,BMW,Z4 M,2009,12740,0.115825,1475.6105
8/21/2020,Minneapolis,Lucy Hill,Mariel Goady,Volvo,V40,2002,49209,0.143983,7085.259447
1/5/2024,San Antonio,Daniel Sanchez,Griffith Foyle,Ferrari,F430,2006,15750,0.098471,1550.91825
12/29/2020,San Diego,Aiden Jones,Bathsheba Lennox,Volkswagen,Jetta,2005,10075,0.078773,793.637975
10/23/2019,Mesa,Gabriel Wilson,Natalya Wales,Pontiac,Trans Sport,1994,34487,0.071726,2473.614562
6/15/2024,Washington,David Williams,Shawnee Marmon,Volkswagen,Corrado,1993,40755,0.085404,3480.64002
8/13/2024,Arlington,Ethan Cooper,Tonia Morteo,Dodge,Ram Wagon B150,1994,44751,0.147142,6584.751642
7/3/2019,Baltimore,Carter Rivera,Kenneth Monahan,Mercury,Cougar,2002,19987,0.129544,2589.195928
1/12/2025,Dallas,Grace Sanchez,Liam Fountain,Mitsubishi,Pajero,2005,35236,0.142635,5025.88686
1/18/2023,Memphis,Julian Morgan,Sergio Neubigging,GMC,Sierra 1500,2002,47437,0.094475,4481.610575
11/7/2024,New Orleans,Grace Anderson,Osborne Greenhough,Saab,9-5,2003,41186,0.071628,2950.070808
5/19/2021,Tulsa,Elijah Clark,Danya Thurlow,Mitsubishi,Lancer Evolution,2011,35027,0.069149,2422.082023
1/21/2021,Minneapolis,Thomas Hernandez,Shaylah Rosling,Mitsubishi,Montero,2002,39092,0.134546,5259.672232
5/4/2018,Miami,Sebastian Flores,Ivor Bahia,Mazda,B-Series,1994,16474,0.114825,1891.62705
5/26/2024,Baltimore,Liam Gonzalez,Kacey Hayhow,Lamborghini,Diablo,1999,28387,0.107483,3051.119921
9/17/2022,Denver,Aria Garcia,Gareth Axby,Chevrolet,Corvair 500,1963,42147,0.054623,2302.195581
11/25/2021,Nashville,Lily Bailey,Ezechiel Rotter,Honda,Element,2011,31581,0.145515,4595.509215
6/7/2022,Nashville,Aiden Young,Jillian Chell,Chevrolet,Suburban 2500,2010,31333,0.065882,2064.280706
12/7/2019,El Paso,David Perez,Reeba Kittel,Mercedes-Benz,SL-Class,2004,31679,0.126508,4007.646932
10/6/2020,Los Angeles,Daniel Sanchez,Bertram Bransdon,Mercury,Grand Marquis,2001,27559,0.099092,2730.876428
12/11/2022,Columbus,Benjamin Smith,Alleen Thaw,Eagle,Talon,1990,19284,0.07103,1369.74252
5/6/2022,Baltimore,Alexander Kelly,Dori Pearmain,Chevrolet,Traverse,2010,31476,0.079325,2496.8337
5/25/2023,Louisville,Levi Richardson,Nonah Rendbaek,Lincoln,Continental,1989,22608,0.078988,1785.760704
12/31/2024,New York,Emma Adams,Thayne Mitchiner,Acura,TL,2004,35849,0.089674,3214.723226
11/4/2020,San Antonio,Michael Taylor,Silvanus McEwan,Buick,Century,2003,47967,0.089244,4280.766948
10/22/2024,Milwaukee,Evelyn Bailey,Beitris Willows,Mitsubishi,Eclipse,2010,35803,0.102473,3668.840819
8/2/2019,Memphis,David Scott,Mateo Davidowsky,Jeep,Compass,2012,15666,0.061279,959.996814
9/17/2018,Tucson,Natalie Harris,Mandie Gallichiccio,Lotus,Evora,2010,25049,0.092746,2323.194554
4/23/2022,Philadelphia,Olivia Price,Corny Champion,Dodge,Dakota Club,2004,25854,0.062725,1621.69215
6/12/2022,Atlanta,Benjamin Kelly,Gladys Heales,Volkswagen,Touareg,2008,40029,0.11452,4584.12108
1/28/2024,Kansas City,Emma Harris,Sigrid Castillon,Dodge,Ram Wagon B150,1992,28925,0.120508,3485.6939
11/2/2022,Albuquerque,Sebastian Flores,Jackelyn Ashling,Ram,3500,2012,40901,0.055207,2258.021507
12/6/2018,Columbus,Victoria Taylor,Jeanette Josephy,Dodge,Ram 3500,2005,32992,0.056468,1862.992256
2/13/2020,Colorado Springs,Amelia Moore,Sharai Gettens,Toyota,4Runner,1998,38222,0.069737,2665.487614
12/24/2019,Kansas City,Layla Lee,Cathy Southway,Honda,del Sol,1995,28474,0.13168,3749.45632
4/24/2021,Minneapolis,Lily Martin,Phyllis Thoresby,Audi,A8,2005,28090,0.110395,3100.99555
3/7/2021,Portland,Zoey Young,Onida Coxhead,Dodge,Ram 1500 Club,2001,27603,0.06273,1731.53619
11/27/2024,Tulsa,Caleb Perez,Leesa Berrecloth,Land Rover,Range Rover,2007,13956,0.142258,1985.352648
10/19/2020,San Francisco,Sophia Hall,Franciskus Fernanando,Mercedes-Benz,W201,1990,18818,0.078088,1469.459984
3/15/2022,Long Beach,Michael Taylor,Derrek Kingdom,Mercedes-Benz,SL-Class,1996,24186,0.12781,3091.21266
8/27/2022,Detroit,Nora Flores,Nicol Peppin,Mercedes-Benz,GLK-Class,2010,31192,0.121064,3776.228288
10/10/2023,Fort Worth,Sophia Garcia,Kipper Mecchi,Toyota,Avalon,2003,20934,0.108032,2261.541888
11/22/2019,Denver,Jacob Scott,Nata Langsdon,Mazda,929,1992,43709,0.111889,4890.556301
6/21/2019,New York,Benjamin Ramirez,Willette Chesterton,Lincoln,Continental,1987,27342,0.08434,2306.02428
12/19/2021,Omaha,Sophia Garcia,Tony Lavallin,Chevrolet,Monte Carlo,1996,46233,0.097701,4517.010333
8/26/2021,Baltimore,Zoey Martinez,Fernande Abbado,Volkswagen,Fox,1988,41053,0.115172,4728.156116
10/20/2021,Virginia Beach,Harper Martin,Minnie Fenn,Nissan,NX,1992,45660,0.062187,2839.45842
9/25/2019,El Paso,Penelope Anderson,Dreddy Fleet,Volkswagen,Jetta,1993,33418,0.148975,4978.44655
11/26/2022,Portland,Gabriel Rivera,Rorie Fain,GMC,Savana 3500,2010,38950,0.073299,2854.99605
8/11/2022,Seattle,Daniel Sanchez,Barnett Willicott,Chevrolet,Corvette,1978,22413,0.138292,3099.538596
3/26/2025,New York,Ethan Cooper,Ruthi Coneron,Ford,E-Series,2002,10117,0.105621,1068.567657
12/20/2021,Tampa,Abigail Thomas,Nikolos Sellen,Toyota,Paseo,1996,29594,0.11422,3380.22668
9/24/2018,Nashville,Hannah Hill,Lucian Lovejoy,Oldsmobile,Alero,2002,36446,0.140311,5113.774706
12/18/2019,Minneapolis,Elijah Clark,Giraud Bullingham,Mercury,Lynx,1986,42986,0.119637,5142.716082
11/3/2023,Raleigh,Emma Jones,Maddie Suter,Mercedes-Benz,C-Class,1997,26132,0.090476,2364.318832
12/21/2021,Fort Worth,Lily Bailey,Moina Cranefield,Saab,9000,1997,19756,0.072849,1439.204844
9/20/2018,Houston,Layla Patterson,Kelley Southard,Porsche,911,2004,19346,0.067798,1311.620108
7/29/2018,Colorado Springs,Aria Garcia,Giorgio Hoppner,Ford,Escort,2001,29771,0.109141,3249.236711
